"Company
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin",Bean Latitude,Bean Longitude 
Davis,West Africa,907,2012,0.58,U.S.A.,3.25,Forastero,West Africa,13.531,-2.46
Dolfin (Belcolade),Africa,304,2008,0.88,Belgium,3,Forastero,West Africa,13.531,-2.46
Neuhaus (Callebaut),West Africa,15,2006,0.73,Belgium,2,Forastero,West Africa,13.531,-2.46
TCHO,West Africa,1716,2016,0.62,U.S.A.,2,Forastero,West Africa,13.531,-2.46
Valrhona,Abinao,153,2007,0.85,France,2.5,Forastero,West Africa,13.531,-2.46
Valrhona,Le Noir Amer,157,2007,0.71,France,2.75,Forastero,West Africa,13.531,-2.46
Alain Ducasse,Vietnam,1215,2014,0.75,France,2.75,Trinitario,Vietnam,21.75,105.373
Alexandre,Tien Giang,1944,2017,0.70,Netherlands,3.5,Trinitario,Vietnam,21.75,105.373
Arete,Tien Giang,1900,2016,0.73,U.S.A.,3.5,Trinitario,Vietnam,21.75,105.373
Arete,Lam Dong,1928,2016,0.73,U.S.A.,3.25,,Vietnam,21.75,105.373
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,0.72,U.K.,3.25,Trinitario,Vietnam,21.75,105.373
Cacao Store,Vietnam,1684,2015,0.70,Japan,3.5,Trinitario,Vietnam,21.75,105.373
Choco Dong,"Mekong Delta, early 2014 Harvest",1696,2015,0.70,South Korea,2.75,Trinitario,Vietnam,21.75,105.373
Confluence,"Tien Giang, 2015, batch 10-2-16",1916,2016,0.78,U.S.A.,2.75,Trinitario,Vietnam,21.75,105.373
DAR,Vietnam,1920,2016,0.72,U.S.A.,3,Trinitario,Vietnam,21.75,105.373
Dick Taylor,Tien Giang,1864,2016,0.78,U.S.A.,3.5,Trinitario,Vietnam,21.75,105.373
Erithaj (A. Morin),Ben Tre,1205,2014,0.70,France,3.25,Trinitario,Vietnam,21.75,105.373
Erithaj (A. Morin),Ham Luong,1209,2014,0.80,France,3,Trinitario,Vietnam,21.75,105.373
Erithaj (A. Morin),Ba Lai,1209,2014,0.74,France,3.25,Trinitario,Vietnam,21.75,105.373
Frederic Blondeel,Vietnam,1542,2015,0.80,Belgium,3,Trinitario,Vietnam,21.75,105.373
Grand Place,"Ben Tre, Dong Nai",741,2011,0.72,Vietnam,3,Trinitario,Vietnam,21.75,105.373
Hotel Chocolat (Coppeneur),Mekong Delta & Dong Nai,1038,2013,0.80,U.K.,3.5,Trinitario,Vietnam,21.75,105.373
Hummingbird,Lam Dong,1542,2015,0.70,Canada,3.5,Trinitario,Vietnam,21.75,105.373
Laia aka Chat-Noir,"Vietnam, Batch 50/100",1590,2015,0.75,France,2.75,Trinitario,Vietnam,21.75,105.373
Laia aka Chat-Noir,"Lam Dong, Batch 153",1642,2015,0.75,France,3.75,Trinitario,Vietnam,21.75,105.373
Map Chocolate,"Ben Tre, Surprise Valley",1896,2016,0.75,U.S.A.,3.25,Trinitario,Vietnam,21.75,105.373
Marou,"Tan Phu Dong Island, Heart of Darkness",1650,2015,0.85,Vietnam,3.25,Trinitario,Vietnam,21.75,105.373
Marou,Ben Tre,1650,2015,0.68,Vietnam,3.5,Trinitario,Vietnam,21.75,105.373
Marou,"Dak Lak, Batch 2451",1650,2015,0.70,Vietnam,3.75,Trinitario,Vietnam,21.75,105.373
Marou,"Tan Phu Dong, Treasure Island",1149,2013,0.75,Vietnam,3.5,Trinitario,Vietnam,21.75,105.373
Marou,Ba Ria,845,2012,0.76,Vietnam,3.5,Trinitario,Vietnam,21.75,105.373
Marou,Dong Nai,845,2012,0.72,Vietnam,3.5,Trinitario,Vietnam,21.75,105.373
Marou,"Tien Giang, Gao Co-op",845,2012,0.70,Vietnam,3.5,Trinitario,Vietnam,21.75,105.373
Marou,Ben Tre,849,2012,0.78,Vietnam,3.5,Trinitario,Vietnam,21.75,105.373
Marou,Tien Giang,895,2012,0.80,Vietnam,3,Trinitario,Vietnam,21.75,105.373
Marou,Lam Dong,955,2012,0.74,Vietnam,3.5,Trinitario,Vietnam,21.75,105.373
Mutari,"Tien Giang, batch 1 SRB",1900,2016,0.80,U.S.A.,3,Trinitario,Vietnam,21.75,105.373
Palette de Bine,Lam Dong,1574,2015,0.72,Canada,3.75,Trinitario,Vietnam,21.75,105.373
Scharffen Berger,Ben Tre,445,2009,0.72,U.S.A.,3.75,Trinitario,Vietnam,21.75,105.373
"Smooth Chocolator, The",Tien Giang,1864,2016,0.70,Australia,3,Trinitario,Vietnam,21.75,105.373
Soma,"Tien Giang, Black S., batch VIT60420.0",1828,2016,0.70,Canada,4,Trinitario,Vietnam,21.75,105.373
Szanto Tibor,"Ben Tre, Mekong Delta",1708,2015,0.70,Hungary,3.25,Trinitario,Vietnam,21.75,105.373
Tablette (aka Vanillabeans),Vietnam,1450,2015,0.60,Japan,3.25,Trinitario,Vietnam,21.75,105.373
Vietcacao (A. Morin),"Ben Tre, Mekong Delta, MoCay",951,2012,0.70,France,3.5,Trinitario,Vietnam,21.75,105.373
Pierre Marcolini,Fleur de Cacao,166,2007,0.85,Belgium,3.5,Blend,Venezuela/ Ghana,,
Ethel's Artisan (Mars),"Venezuela, Trinidad",672,2011,0.62,U.S.A.,2.5,,"Venezuela, Trinidad",,
Pierre Marcolini,Cabosse,111,2007,0.70,Belgium,4,Blend,"Venezuela, Java",,
Pralus,"Caracas, Venezuela and Ghana",99,2006,0.75,France,3,"Trinitario, Forastero","Venezuela, Ghana",,
Lillie Belle,Purple Haze,947,2012,0.75,U.S.A.,2.75,,"Venezuela, Dom. Rep.",,
Valrhona,Araguani,117,2007,0.72,France,3,Blend,"Venezuela, Carribean",,
A. Morin,Carenero,1315,2014,0.70,France,2.75,Criollo,Venezuela,6.983,-64.588
A. Morin,Sur del Lago,1315,2014,0.70,France,3.5,Criollo,Venezuela,6.983,-64.588
A. Morin,Puerto Cabello,1319,2014,0.70,France,3.75,Criollo,Venezuela,6.983,-64.588
A. Morin,Chuao,1015,2013,0.70,France,4,Trinitario,Venezuela,6.983,-64.588
Alain Ducasse,Chuao,1061,2013,0.75,France,2.5,Trinitario,Venezuela,6.983,-64.588
Altus aka Cao Artisan,Sur del Lago,1125,2013,0.60,U.S.A.,2.5,,Venezuela,6.983,-64.588
Amano,Chuao,544,2010,0.70,U.S.A.,3,Trinitario,Venezuela,6.983,-64.588
Amano,Montanya,363,2009,0.70,U.S.A.,3,,Venezuela,6.983,-64.588
Amano,Cuyagua,147,2007,0.70,U.S.A.,3,,Venezuela,6.983,-64.588
Amano,Ocumare,175,2007,0.70,U.S.A.,3.75,Criollo,Venezuela,6.983,-64.588
Ambrosia,Venezuela,1498,2015,0.70,Canada,3.25,,Venezuela,6.983,-64.588
Amedei,Porcelana,111,2007,0.70,Italy,4,Criollo (Porcelana),Venezuela,6.983,-64.588
Amedei,Chuao,111,2007,0.70,Italy,5,Trinitario,Venezuela,6.983,-64.588
Amedei,Venezuela,123,2007,0.70,Italy,3.75,Trinitario (85% Criollo),Venezuela,6.983,-64.588
Ara,Trincheras,1379,2014,0.75,France,3,,Venezuela,6.983,-64.588
Artisan du Chocolat,Venezuela,486,2010,1.00,U.K.,1.75,,Venezuela,6.983,-64.588
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,0.75,U.K.,2.5,"Criollo, Trinitario",Venezuela,6.983,-64.588
Benoit Nihant,Chuao,1141,2013,0.74,Belgium,3.5,Criollo,Venezuela,6.983,-64.588
